state;mes;total_casos;total_mortes;letalidade;
PE;01/10/2020;4812615;262295;0;25
PI;01/10/2020;3253977;70181;0;19
PR;01/10/2020;6124604;151538;0;27
RJ;01/10/2020;8954496;607652;0;28
RN;01/10/2020;2349062;77158;0;23
RO;01/10/2020;2133058;43812;0;55
RR;01/10/2020;1666018;21003;0;22
RS;01/10/2020;6854603;164517;0;25
SC;01/10/2020;7268265;91688;0;68
SE;01/10/2020;2515547;65812;0;33
SP;01/10/2020;32690638;1169135;0;21
TO;01/10/2020;2236811;32021;0;13
AC;01/11/2020;999278;21245;0;24
AL;01/11/2020;2780966;68834;0;13
AM;01/11/2020;5098050;141443;0;26
AP;01/11/2020;1657479;23309;0;36
BA;01/11/2020;11263836;238750;0;14
CE;01/11/2020;8581298;283706;0;21
DF;01/11/2020;6618506;114550;0;25
ES;01/11/2020;5145678;121195;0;28
GO;01/11/2020;8040541;181626;0;14
MA;01/11/2020;5690196;125450;0;21
MG;01/11/2020;11546699;285094;0;33
MS;01/11/2020;2674242;50578;0;17
MT;01/11/2020;4529798;118830;0;24
PA;01/11/2020;7855935;204889;0;23
PB;01/11/2020;4174928;96168;0;22
PE;01/11/2020;5145948;265068;0;25
PI;01/11/2020;3601432;75784;0;19
PR;01/11/2020;7242674;170424;0;26
RJ;01/11/2020;9877873;644894;0;26
RN;01/11/2020;2557430;79022;0;23
RO;01/11/2020;2267036;45076;0;52
RR;01/11/2020;1814707;21248;0;21
RS;01/11/2020;8447528;188279;0;24
SC;01/11/2020;9094767;101181;0;65
SE;01/11/2020;2596287;67816;0;31
SP;01/11/2020;35211665;1218570;0;20
TO;01/11/2020;2349258;33975;0;12
AC;01/12/2020;1211267;23487;0;22
AL;01/12/2020;3094305;74399;0;11
AM;01/12/2020;5869828;156782;0;26
AP;01/12/2020;1982736;26774;0;35
BA;01/12/2020;14058572;269672;0;14
CE;01/12/2020;9860223;304843;0;19
DF;01/12/2020;7478536;127132;0;24
ES;01/12/2020;6815053;144723;0;27
GO;01/12/2020;9173819;204637;0;14
MA;01/12/2020;6130443;136450;0;19
MG;01/12/2020;14879689;338243;0;31
MS;01/12/2020;3618663;62264;0;17
MT;01/12/2020;5232721;131926;0;21
PA;01/12/2020;8761731;217960;0;22
PB;01/12/2020;4842134;108028;0;22
PE;01/12/2020;6280294;289839;0;23
PI;01/12/2020;4207000;84923;0;17
PR;01/12/2020;10902643;218581;0;25
RJ;01/12/2020;12273445;745519;0;25
RN;01/12/2020;3288022;87792;0;22
RO;01/12/2020;2719615;51898;0;46
RR;01/12/2020;2063343;23541;0;20
RS;01/12/2020;12062362;243283;0;20
SC;01/12/2020;13617305;140272;0;61
SE;01/12/2020;3133983;74031;0;27
SP;01/12/2020;42019313;1378243;0;19
TO;01/12/2020;2674340;37330;0;11
AC;01/01/2021;1384282;25860;0;20
AL;01/01/2021;3442560;81050;0;10
AM;01/01/2021;7136398;197457;0;24
AP;01/01/2021;2257005;30839;0;33
BA;01/01/2021;16614570;297962;0;14
CE;01/01/2021;10929766;316888;0;19
DF;01/01/2021;8183601;136695;0;24
ES;01/01/2021;8463742;169926;0;28
GO;01/01/2021;10158782;220178;0;14
MA;01/01/2021;6312803;142574;0;18
MG;01/01/2021;19675212;413699;0;29
MS;01/01/2021;4609662;82105;0;17
MT;01/01/2021;6109545;146760;0;20
PA;01/01/2021;9584805;229208;0;22
PB;01/01/2021;5505081;120217;0;23
PE;01/01/2021;7451710;309729;0;21
PI;01/01/2021;4671755;91340;0;18
PR;01/01/2021;15235004;279218;0;24
RJ;01/01/2021;14813478;856569;0;24
RN;01/01/2021;3997860;97711;0;22
RO;01/01/2021;3375932;62287;0;42
RR;01/01/2021;2198504;25133;0;20
RS;01/01/2021;15523861;304936;0;18
SC;01/01/2021;16644745;181059;0;58
SE;01/01/2021;3922982;81820;0;24
SP;01/01/2021;50008052;1542007;0;18
TO;01/01/2021;2975445;40459;0;11
AC;01/02/2021;1486249;26019;0;20
AL;01/02/2021;3492545;80437;0;11
AM;01/02/2021;8256755;274357;0;21
AP;01/02/2021;2257122;30904;0;31
BA;01/02/2021;17726946;303292;0;14
CE;01/02/2021;11134658;302974;0;18
DF;01/02/2021;8007193;131474;0;23
ES;01/02/2021;8703370;172306;0;33
GO;01/02/2021;10434751;224367;0;14
MA;01/02/2021;5970832;136188;0;17
MG;01/02/2021;22624441;471053;0;27
MS;01/02/2021;4790729;87497;0;16
MT;01/02/2021;6533021;151059;0;20
